CompositeId,Manager,ComponentCount,Components,Inception,LastDate
MGR::Amplify,Amplify,12,"BAGY, BITY, DIVO, EHY, ETTY, HAKY, HCOW, IDVO, NDIV, SOLM, TLTP, XRPM",2016-12-16,2026-03-13
MGR::BlackRock/iShares,BlackRock/iShares,9,"BALI, BALQ, HYGW, IALT, ISMF, IVVW, IWMW, LQDW, TLTW",2022-08-23,2026-03-13
MGR::Defiance,Defiance,2,"USOY, YBMN",2024-05-13,2026-03-13
MGR::First Trust,First Trust,12,"FAAR, FMF, FTHI, FTKI, FTLS, FTQI, LALT, MARB, XIDE, XIJN, XIMR, XISE",2013-08-05,2026-03-13
MGR::Global X,Global X,16,"ALTY, BCCC, DJIA, DYLG, MLPD, QCLR, QTR, QYLD, QYLG, RYLD, RYLG, TYLG, XCLR, XTR, XYLD, XYLG",2013-06-25,2026-03-13
MGR::Goldman Sachs,Goldman Sachs,2,"GPIQ, GPIX",2023-10-30,2026-03-13
MGR::Grayscale Bitcoin,Grayscale Bitcoin,2,"BPI, BTCC",2025-04-03,2026-03-13
MGR::Innovator,Innovator,13,"APRH, APRJ, JANH, JANJ, JULH, JULJ, LAPR, LJAN, LJUL, LOCT, OCTH, OCTJ, QHDG",2023-04-04,2026-03-13
MGR::Invesco,Invesco,4,"IMF, PBP, PHDG, QQHG",2007-12-28,2026-03-13
MGR::JPMorgan,JPMorgan,5,"HELO, HEQQ, HOLA, JEPI, JEPQ",2020-05-22,2026-03-13
MGR::NEOS,NEOS,7,"IWMI, NLSI, NUSI, QQQH, QQQI, SPYH, SPYI",2019-12-20,2026-03-13
MGR::REX,REX,4,"AIPI, CEPI, FEPI, ULTI",2023-10-12,2026-03-13
MGR::Return Stacked,Return Stacked,3,"RSBA, RSBT, RSST",2023-02-09,2026-03-13
MGR::Roundhill,Roundhill,6,"MAGY, QDTE, RDTE, XDTE, YBTC, YETH",2024-01-19,2026-03-13
MGR::Simplify,Simplify,6,"BUCK, CTA, EQLS, HEQT, QIS, SBAR",2021-11-03,2026-03-13
MGR::Sterling,Sterling,2,"SCEP, SCMC",2025-12-12,2026-03-13
MGR::T. Rowe,T. Rowe,2,"TCAL, THEQ",2025-03-28,2026-03-13
MGR::Tuttle Capital,Tuttle Capital,2,"BITK, MSTK",2025-09-25,2026-03-13
MGR::Virtus AlphaSimplex,Virtus AlphaSimplex,2,"ASGM, ASMF",2024-05-17,2026-03-13
MGR::WisdomTree,WisdomTree,7,"DXJ, GTR, HEDJ, INDH, WTLS, WTMF, WTPI",2006-06-19,2026-03-13
MGR::Xtrackers MSCI,Xtrackers MSCI,6,"DBAW, DBEF, DBEM, DBEU, DBEZ, DBJP",2011-06-10,2026-03-13
MGR::YieldMax,YieldMax,9,"BIGY, CHPY, GDXY, GPTY, LFGY, RNTY, SOXY, YMAG, YMAX",2024-01-18,2026-03-13
