HorizonYears,Mode,Count,AvgCalmar,AvgSPYCalmarMatched,AvgQQQCalmarMatched,CountBeatSPY,CountBeatQQQ,CountBeatEither,CountBeatBoth
1,full,124,1.7836122462201367,1.5746147767076386,1.7556156393827362,69,48,69,48
1,partial,12,1.8042101744707155,-3.565517616928961,-3.469776968984489,11,11,11,11
2,full,102,0.8620390819706855,0.7881149143201437,0.7412536460068085,57,59,59,57
2,partial,22,1.4564371954081416,0.7492093518144199,0.7621024212838935,10,9,11,8
3,full,71,0.9934554295352732,1.1444309738923568,1.2192124583997204,24,22,24,22
3,partial,31,0.7742476051270049,1.02866652806022,0.9541309278590897,9,14,14,9
4,full,58,0.5675383697092848,0.6293578073912028,0.5991391925223616,25,30,30,25
4,partial,13,0.9577919907573877,0.9432490808088446,1.0442818057552354,5,5,5,5
5,full,51,0.46793120301378666,0.5061459116496492,0.39814345987157657,25,29,29,25
5,partial,7,0.5350597529378002,0.4586070470391698,0.36054892413241985,4,4,4,4
